Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
.,org.pdfsam.task,TaskExecutionController,TaskExecutionController,Long Statement,The length of the statement "GlobalNotificationContext.getContext().addListener(TaskExecutionCompletedEvent.class`new TaskEventBroadcaster<TaskExecutionCompletedEvent>());" is 142.
.,org.pdfsam.task,TaskExecutionController,TaskExecutionController,Long Statement,The length of the statement "GlobalNotificationContext.getContext().addListener(PercentageOfWorkDoneChangedEvent.class`new TaskEventBroadcaster<PercentageOfWorkDoneChangedEvent>());" is 152.
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateSpecificPages,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateSpecificPages,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 15
.,org.pdfsam.task,BulkRotateTaskTest,setUpRotateMultipleInput,Magic Number,The method contains a magic number: 15
.,org.pdfsam.task,BulkRotateTaskTest,testExecute,Long Statement,The length of the statement "testContext.assertCreator().assertPages(4).forEachPdfOutput(d -> d.getPages().forEach(p -> assertEquals(180`p.getRotation())));" is 127.
.,org.pdfsam.task,BulkRotateTaskTest,testExecute,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,testExecute,Magic Number,The method contains a magic number: 180
.,org.pdfsam.task,BulkRotateTaskTest,testRotateSpecificPages,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,testRotateSpecificPages,Magic Number,The method contains a magic number: 90
.,org.pdfsam.task,BulkRotateTaskTest,testRotateSpecificPages,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,testExecuteEncrypted,Long Statement,The length of the statement "testContext.assertCreator().assertPages(4).forEachPdfOutput(d -> d.getPages().forEach(p -> assertEquals(180`p.getRotation())));" is 127.
.,org.pdfsam.task,BulkRotateTaskTest,testExecuteEncrypted,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,testExecuteEncrypted,Magic Number,The method contains a magic number: 180
.,org.pdfsam.task,BulkRotateTaskTest,testVersionPrefixAndCreatorAreApplied,Magic Number,The method contains a magic number: 4
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 90
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 90
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 2
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 90
.,org.pdfsam.task,BulkRotateTaskTest,testMultipleInputOneDoesntContainRange,Magic Number,The method contains a magic number: 3
.,org.pdfsam.task,TaskExecutionControllerTest,request,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.task,TaskExecutionControllerTest,onEventTaskEventBroadcaster,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.task,TaskExecutionControllerTest,onEventTaskEventBroadcaster,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.ui,StageStatus,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(x`item.getX()).append(y`item.getY()).append(width`item.getWidth()).append(height`item.getHeight()).append(mode`item.getMode()).isEquals();" is 172.
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,StageStatusTest,testEquals,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,ContentPane,ContentPane,Magic Number,The method contains a magic number: 300
.,org.pdfsam.ui,ContentPane,ContentPane,Magic Number,The method contains a magic number: 300
.,org.pdfsam.ui,WorkspaceController,saveWorkspace,Long Statement,The length of the statement "CompletableFuture<Void> future=CompletableFuture.allOf(modules.stream().map(m -> CompletableFuture.runAsync(() -> eventStudio().broadcast(event`m.id()))).toArray(CompletableFuture[]::new)).thenRun(() -> service.saveWorkspace(event.getData()`event.workspace())).whenComplete((r`e) -> {" is 284.
.,org.pdfsam.ui,WorkspaceController,loadWorspace,Long Statement,The length of the statement "return CompletableFuture.allOf(modules.stream().map(m -> CompletableFuture.runAsync(() -> eventStudio().broadcast(event`m.id()))).toArray(CompletableFuture[]::new)).thenRun(() -> {" is 180.
.,org.pdfsam.ui,DefaultStageServiceTest,save,Long Statement,The length of the statement "StageStatus storedStatus=JSON.std.beanFrom(StageStatus.class`Preferences.userRoot().node(DefaultStageService.STAGE_PATH).get(DefaultStageService.STAGE_STATUS_KEY`""));" is 167.
.,org.pdfsam.ui,DefaultStageServiceTest,save,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,DefaultStageServiceTest,save,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,DefaultStageServiceTest,save,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,DefaultStageServiceTest,save,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,DefaultStageServiceTest,testClear,Long Statement,The length of the statement "assertTrue(isBlank(Preferences.userRoot().node(DefaultStageService.STAGE_PATH).get(DefaultStageService.STAGE_STATUS_KEY`"")));" is 126.
.,org.pdfsam.ui,DefaultStageServiceTest,testClear,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,DefaultStageServiceTest,testClear,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,DefaultStageServiceTest,testClear,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,DefaultStageServiceTest,testClear,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,DefaultStageServiceTest,getLatest,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui,DefaultStageServiceTest,getLatest,Magic Number,The method contains a magic number: 20
.,org.pdfsam.ui,DefaultStageServiceTest,getLatest,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui,DefaultStageServiceTest,getLatest,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,noDuplicate,Magic Number,The method contains a magic number: 150
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,noDuplicateIsPushedTop,Magic Number,The method contains a magic number: 150
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,noDuplicateIsPushedTop,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,noDuplicateIsPushedTop,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,isPopulated,Magic Number,The method contains a magic number: 5
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,isSorted,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,isSorted,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui,PreferencesRecentWorkspacesServiceTest,populate,Magic Number,The method contains a magic number: 150
.,org.pdfsam.ui.workspace,SaveWorkspaceEventTest,multipleAdd,Magic Number,The method contains a magic number: 2
.,org.pdfsam.update,UpdatesControllerTest,pasitiveCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,pasitiveCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,pasitiveCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,pasitiveCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,pasitiveCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,negativeCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,negativeCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,negativeCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,negativeCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,negativeCheckForUpdatesNotifyNoUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,exceptionalCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.update,UpdatesControllerTest,exceptionalCheckForUpdates,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.extract,ExtractModule,settingPanel,Long Statement,The length of the statement "pane.getChildren().addAll(selectionPane`titledPane(DefaultI18nContext.getInstance().i18n("Extract settings")`extractOptions)`titledPane(DefaultI18nContext.getInstance().i18n("Output settings")`destinationPane)`prefixTitled);" is 224.
.,org.pdfsam.extract,ExtractOptionsPane,ExtractOptionsPane,Long Statement,The length of the statement "getChildren().addAll(new Label(DefaultI18nContext.getInstance().i18n("Extract pages:"))`this.field`helpIcon("Comma separated page numbers or ranges to extract (ex: 2 or 5-23 or 2`5-7`12-)"));" is 191.
.,org.pdfsam.extract,ExtractOptionsPane,ExtractOptionsPane,Magic Number,The method contains a magic number: 350
.,org.pdfsam.extract,ExtractSelectionPane,ExtractSelectionPane,Long Statement,The length of the statement "super(ownerModule`false`false`new SelectionTableColumn<?>[]{new LoadingColumn(ownerModule)`FileColumn.NAME`LongColumn.SIZE`IntColumn.PAGES`LongColumn.LAST_MODIFIED});" is 166.
.,org.pdfsam.extract,ExtractOptionsPaneTest,restoreState,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.extract,ExtractOptionsPaneTest,reset,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.extract,ExtractParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,Animations,shake,Long Statement,The length of the statement "Timeline timeline=new Timeline(new KeyFrame(Duration.millis(2500))`new KeyFrame(Duration.millis(0)`new KeyValue(node.scaleXProperty()`1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1`EASE_BOTH)`new KeyValue(node.rotateProperty()`0`EASE_BOTH))`new KeyFrame(Duration.millis(100)`new KeyValue(node.scaleXProperty()`0.9`EASE_BOTH)`new KeyValue(node.scaleYProperty()`0.9`EASE_BOTH)`new KeyValue(node.rotateProperty()`-3`EASE_BOTH))`new KeyFrame(Duration.millis(200)`new KeyValue(node.scaleXProperty()`0.9`EASE_BOTH)`new KeyValue(node.scaleYProperty()`0.9`EASE_BOTH)`new KeyValue(node.rotateProperty()`-3`EASE_BOTH))`new KeyFrame(Duration.millis(300)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`3`EASE_BOTH))`new KeyFrame(Duration.millis(400)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`-3`EASE_BOTH))`new KeyFrame(Duration.millis(500)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`3`EASE_BOTH))`new KeyFrame(Duration.millis(600)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`-3`EASE_BOTH))`new KeyFrame(Duration.millis(700)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`3`EASE_BOTH))`new KeyFrame(Duration.millis(800)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`-3`EASE_BOTH))`new KeyFrame(Duration.millis(900)`new KeyValue(node.scaleXProperty()`1.1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1.1`EASE_BOTH)`new KeyValue(node.rotateProperty()`3`EASE_BOTH))`new KeyFrame(Duration.millis(1000)`new KeyValue(node.scaleXProperty()`1`EASE_BOTH)`new KeyValue(node.scaleYProperty()`1`EASE_BOTH)`new KeyValue(node.rotateProperty()`0`EASE_BOTH)));" is 2077.
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 2500
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 0.9
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 0.9
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 200
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 0.9
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 0.9
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 300
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 400
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 500
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 600
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 700
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 800
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 900
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1.1
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 1000
.,org.pdfsam.ui.commons,Animations,shake,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.commons,RadioButtonDrivenTextFieldsPane,addRow,Magic Number,The method contains a magic number: 300
.,org.pdfsam.ui.commons,RadioButtonDrivenTextFieldsPane,addRow,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,ValidableTextField,ErrorTooltipManager,Complex Conditional,The conditional expression owner != null && owner.isShowing() && ValidableTextField.this.isVisible() is complex.
.,org.pdfsam.ui.commons,ValidableTextField,ErrorTooltipManager,Magic Number,The method contains a magic number: 5000
.,org.pdfsam.ui.commons,ValidableTextField,ErrorTooltipManager,Magic Number,The method contains a magic number: 250
.,org.pdfsam.ui.commons,ValidableTextField,getDisplayCoordiantes,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,ValidableTextField,getDisplayCoordiantes,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,ErrorTooltipManager,ErrorTooltipManager,Complex Conditional,The conditional expression owner != null && owner.isShowing() && ValidableTextField.this.isVisible() is complex.
.,org.pdfsam.ui.commons,ErrorTooltipManager,ErrorTooltipManager,Magic Number,The method contains a magic number: 5000
.,org.pdfsam.ui.commons,ErrorTooltipManager,ErrorTooltipManager,Magic Number,The method contains a magic number: 250
.,org.pdfsam.ui.commons,ErrorTooltipManager,getDisplayCoordiantes,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,ErrorTooltipManager,getDisplayCoordiantes,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.commons,HideOnEscapeHandlerTest,showingMatch,Long Statement,The length of the statement "WaitForAsyncUtils.waitForAsyncFx(2000`() -> victim.handle(new KeyEvent(KeyEvent.KEY_RELEASED`KeyCode.ESCAPE.toString()`""`KeyCode.ESCAPE`false`false`false`false)));" is 164.
.,org.pdfsam.ui.commons,HideOnEscapeHandlerTest,showingMatch,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.commons,RadioButtonDrivenTextFieldsPaneTest,nullHelp,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.commons,ValidableTextFieldTest,tooltip,Magic Number,The method contains a magic number: 500
.,org.pdfsam.ui.help,HelpPopup,HelpPopup,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.io,BrowsableField,paste,Complex Conditional,The conditional expression text.length() > 2 && text.charAt(0) == '"' && text.charAt(text.length() - 1) == '"' is complex.
.,org.pdfsam.ui.io,BrowsableField,paste,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.io,BrowsableField,BrowsableField,Long Statement,The length of the statement "textField.focusedProperty().addListener((o`oldVal`newVal) -> validableContainer.pseudoClassStateChanged(SELECTED_PSEUDOCLASS_STATE`newVal));" is 140.
.,org.pdfsam.ui.io,BrowsableFileField,init,Long Statement,The length of the statement "getTextField().setPromptText(String.format("%s: %s"`DefaultI18nContext.getInstance().i18n("Select a file")`fileType.getFilter().getExtensions()));" is 146.
.,org.pdfsam.ui.io,BrowsableFileField,buildErrorMessage,Long Statement,The length of the statement "String errorMessage=selectedFileMustExists ? DefaultI18nContext.getInstance().i18n("The selected file must exist. ") : "";" is 122.
.,org.pdfsam.ui.io,BrowsableFileField,buildErrorMessage,Long Statement,The length of the statement "errorMessage+=DefaultI18nContext.getInstance().i18n("Allowed extensions are {0}"`fileType.getFilter().getExtensions().toString());" is 130.
.,org.pdfsam.ui.io,BrowsableFileField,onDragDropped,Long Statement,The length of the statement "e.getDragboard().getFiles().stream().filter(f -> fileType.matches(f.getName())).findFirst().ifPresent(file -> setTextFromFile(file));" is 133.
.,org.pdfsam.ui.io,DestinationPane,DestinationPane,Long Statement,The length of the statement "overwrite.setGraphic(helpIcon(DefaultI18nContext.getInstance().i18n("Tick the box if you want to overwrite the output files if they already exist.")));" is 151.
.,org.pdfsam.ui.io,FileChoosers,getFileChooser,Long Statement,The length of the statement "FILE_INSTANCE.getExtensionFilters().setAll(Arrays.stream(filters).map(FileType::getFilter).collect(Collectors.toList()));" is 121.
.,org.pdfsam.ui.io,PdfDestinationPane,PdfDestinationPane,Long Parameter List,The method has 5 parameters. 
.,org.pdfsam.ui.io,PdfDestinationPane,PdfDestinationPane,Long Statement,The length of the statement "discardBookmarksField.setGraphic(helpIcon(DefaultI18nContext.getInstance().i18n("Tick the box if you don't want to retain any bookmark from the original PDF document")));" is 170.
.,org.pdfsam.ui.io,PdfDestinationPane,PdfDestinationPane,Long Statement,The length of the statement "TitledPane titledAdvanced=Views.titledPane(DefaultI18nContext.getInstance().i18n("Show advanced settings")`advancedPanel);" is 122.
.,org.pdfsam.ui.io,PdfDestinationPane,setDestination,Complex Conditional,The conditional expression !event.isFallback() || (isBlank(destination().getTextField().getText()) && userContext.isUseSmartOutput()) is complex.
.,org.pdfsam.ui.io,PdfDestinationPane,restoreStateFrom,Long Statement,The length of the statement "ofNullable(data.get("version")).map(PdfVersion::valueOf).map(DefaultPdfVersionComboItem::new).ifPresent(v -> this.version.getSelectionModel().select(v));" is 153.
.,org.pdfsam.ui.io,PdfVersionCombo,PdfVersionCombo,Long Statement,The length of the statement "Arrays.stream(PdfVersion.values()).filter(v -> v.getVersion() > PdfVersion.VERSION_1_2.getVersion()).map(DefaultPdfVersionComboItem::new).forEach(unfilteredItems::add);" is 168.
.,org.pdfsam.ui.io,PdfVersionConstrainedCheckBox,PdfVersionConstrainedCheckBox,Long Statement,The length of the statement "this.setGraphic(helpIcon(DefaultI18nContext.getInstance().i18n("PDF version required: {0}"`this.constraint.getVersionString())));" is 129.
.,org.pdfsam.ui.io,RememberingLatestFileChooserWrapper,showDialog,Missing default,The following switch statement is missing a default case: switch (type) {
.,org.pdfsam.ui.io,BrowsableDirectoryFieldUITest,setGraphic,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.io,BrowsableDirectoryFieldUITest,nullGraphicDoesntExplode,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.io,BrowsableDirectoryFieldUITest,copyPasteInQuotes,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.io,BrowsableDirectoryFieldUITest,copyPasteNoQuotes,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.io,PdfDestinationPaneTest,reset,Long Statement,The length of the statement "Set<PdfVersion> available=victim.getVersion().getItems().stream().map(PdfVersionComboItem::getVersion).collect(Collectors.toSet());" is 131.
.,org.pdfsam.ui.io,PdfDestinationPaneTest,reset,Long Statement,The length of the statement "assertThat(available`allOf(containsInAnyOrder(PdfVersion.VERSION_1_5`PdfVersion.VERSION_1_6`PdfVersion.VERSION_1_7)`not(containsInAnyOrder(PdfVersion.VERSION_1_2`PdfVersion.VERSION_1_3`PdfVersion.VERSION_1_4))));" is 212.
.,org.pdfsam.ui.io,PdfDestinationPaneUITest,reset,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.io,PdfVersionComboTest,sameAsSourceVersion,Magic Number,The method contains a magic number: 2
.,org.pdfsam.ui.io,PdfVersionComboTest,sameAsSourceVersionLowerThenConstraint,Magic Number,The method contains a magic number: 4
.,org.pdfsam.ui.io,PdfVersionComboTest,sameAsSourceVersionLowerThenConstraint,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.io,PdfVersionComboTest,reset,Magic Number,The method contains a magic number: 3
.,org.pdfsam.ui.io,PdfVersionComboTest,reset,Magic Number,The method contains a magic number: 5
.,org.pdfsam.ui.io,PdfVersionFilterTest,remove,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui.module,BaseTaskExecutionModule,initModuleSettingsPanel,Long Statement,The length of the statement "Builder<? extends AbstractParameters> builder=getBuilder(errorTracker.andThen(s -> eventStudio().broadcast(new AddNotificationRequestEvent(NotificationType.ERROR`s`DefaultI18nContext.getInstance().i18n("Invalid parameters")))));" is 228.
.,org.pdfsam.ui.module,Footer,onProgress,Long Statement,The length of the statement "statusLabel.setText(DefaultI18nContext.getInstance().i18n("Running {0}%"`Integer.toString(event.getPercentage().intValue())));" is 126.
.,org.pdfsam.ui.module,Footer,onProgress,Magic Number,The method contains a magic number: 100
.,org.pdfsam.ui.module,OpenButton,OpenButton,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui.module,OpenButton,onTaskCompleted,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui.module,FooterTest,onTaskCompleted,Magic Number,The method contains a magic number: 0.01
.,org.pdfsam.ui.module,FooterTest,onTaskFailed,Magic Number,The method contains a magic number: 0.01
.,org.pdfsam.ui.module,FooterTest,onProgress,Long Statement,The length of the statement "assertEquals(DefaultI18nContext.getInstance().i18n("Running {0}%"`"50")`((Labeled)victim.lookup(".status-label")).getText());" is 125.
.,org.pdfsam.ui.module,FooterTest,onProgress,Magic Number,The method contains a magic number: 50
.,org.pdfsam.ui.module,FooterTest,onProgress,Magic Number,The method contains a magic number: 0.5
.,org.pdfsam.ui.module,FooterTest,onProgress,Magic Number,The method contains a magic number: 0.01
.,org.pdfsam.ui.module,FooterTest,onProgressIndeterminate,Long Statement,The length of the statement "PercentageOfWorkDoneChangedEvent event=new PercentageOfWorkDoneChangedEvent(PercentageOfWorkDoneChangedEvent.UNDETERMINED`taskMetadata);" is 136.
.,org.pdfsam.ui.module,FooterTest,onTaskExecutionRequest,Magic Number,The method contains a magic number: 0.01
.,org.pdfsam.ui.module,OpenButtonTest,start,Magic Number,The method contains a magic number: 30
.,org.pdfsam.ui.module,OpenButtonTest,openFileClick,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,openDirectoryClick,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,openSingleFileDirectoryDestinationClick,Magic Number,The method contains a magic number: 12
.,org.pdfsam.ui.module,OpenButtonTest,openSingleFileDirectoryDestinationClick,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,fileDestination,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,directoryDestination,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,fileOrDirDestination,Magic Number,The method contains a magic number: 2000
.,org.pdfsam.ui.module,OpenButtonTest,sendToModuleClick,Magic Number,The method contains a magic number: 10
.,org.pdfsam.ui.module,TaskFailedButtonTest,start,Magic Number,The method contains a magic number: 30
.,org.pdfsam.ui.notification,NotificationsContainer,addNotification,Magic Number,The method contains a magic number: 5
.,org.pdfsam.ui.notification,NotificationsContainer,fadeIn,Magic Number,The method contains a magic number: 300
